"gene_id","scer_gene_name","functional_category","category_order","name_raw","desc_raw"
"YDR418W","RPL12B","Translation / Ribosome",3,"YDR418W   RPL12B     PROTEIN SYNTHESIS                       RIBOSOMAL PROTEIN L12B                  S0002826","PROTEIN SYNTHESIS RIBOSOMAL PROTEIN L12B S0002826"
"YDL082W","RPL13A","Translation / Ribosome",3,"YDL082W   RPL13A     PROTEIN SYNTHESIS                       RIBOSOMAL PROTEIN L13A                  S0002240","PROTEIN SYNTHESIS RIBOSOMAL PROTEIN L13A S0002240"
"YMR142C","RPL13B","Translation / Ribosome",3,"YMR142C   RPL13B     PROTEIN SYNTHESIS                       RIBOSOMAL PROTEIN L13B                  S0004750","PROTEIN SYNTHESIS RIBOSOMAL PROTEIN L13B S0004750"
"YKL006W","RPL14A","Translation / Ribosome",3,"YKL006W   RPL14A     PROTEIN SYNTHESIS                       RIBOSOMAL PROTEIN L14A                  S0001489","PROTEIN SYNTHESIS RIBOSOMAL PROTEIN L14A S0001489"
"YHL001W","RPL14B","Translation / Ribosome",3,"YHL001W   RPL14B     PROTEIN SYNTHESIS                       RIBOSOMAL PROTEIN L14B                  S0000993","PROTEIN SYNTHESIS RIBOSOMAL PROTEIN L14B S0000993"
"YLR029C","RPL15A","Translation / Ribosome",3,"YLR029C   RPL15A     PROTEIN SYNTHESIS                       RIBOSOMAL PROTEIN L15A                  S0004019","PROTEIN SYNTHESIS RIBOSOMAL PROTEIN L15A S0004019"
"YMR121C","RPL15B","Translation / Ribosome",3,"YMR121C   RPL15B     PROTEIN SYNTHESIS                       RIBOSOMAL PROTEIN L15B                  S0004728","PROTEIN SYNTHESIS RIBOSOMAL PROTEIN L15B S0004728"
"YIL133C","RPL16A","Translation / Ribosome",3,"YIL133C   RPL16A     PROTEIN SYNTHESIS                       RIBOSOMAL PROTEIN L16A                  S0001395","PROTEIN SYNTHESIS RIBOSOMAL PROTEIN L16A S0001395"
"YNL069C","RPL16B","Translation / Ribosome",3,"YNL069C   RPL16B     PROTEIN SYNTHESIS                       RIBOSOMAL PROTEIN L16B                  S0005013","PROTEIN SYNTHESIS RIBOSOMAL PROTEIN L16B S0005013"
"YKL180W","RPL17A","Translation / Ribosome",3,"YKL180W   RPL17A     PROTEIN SYNTHESIS                       RIBOSOMAL PROTEIN L17A                  S0001663","PROTEIN SYNTHESIS RIBOSOMAL PROTEIN L17A S0001663"
"YJL177W","RPL17B","Translation / Ribosome",3,"YJL177W   RPL17B     PROTEIN SYNTHESIS                       RIBOSOMAL PROTEIN L17B                  S0003713","PROTEIN SYNTHESIS RIBOSOMAL PROTEIN L17B S0003713"
"YOL120C","RPL18A","Translation / Ribosome",3,"YOL120C   RPL18A     PROTEIN SYNTHESIS                       RIBOSOMAL PROTEIN L18A                  S0005480","PROTEIN SYNTHESIS RIBOSOMAL PROTEIN L18A S0005480"
"YNL301C","RPL18B","Translation / Ribosome",3,"YNL301C   RPL18B     PROTEIN SYNTHESIS                       RIBOSOMAL PROTEIN L18B                  S0005245","PROTEIN SYNTHESIS RIBOSOMAL PROTEIN L18B S0005245"
"YBL027W","RPL19B","Translation / Ribosome",3,"YBL027W   RPL19B     PROTEIN SYNTHESIS                       RIBOSOMAL PROTEIN L19B                  S0000123","PROTEIN SYNTHESIS RIBOSOMAL PROTEIN L19B S0000123"
