"gene_id","name_raw","gene_name","desc_raw","scer_gene_name","functional_category","category_order"
"YJL163C","YJL163C              UNKNOWN                                 UNKNOWN; SIMILAR TO BOVINE PREFOLDIN SUBS0003699","YJL163C","UNKNOWN; SIMILAR TO BOVINE PREFOLDIN SUBS0003699","YJL163C","Protein folding / QC",2
"YIR039C","YIR039C   YPS6       PROTEIN DEGRADATION                     GPI-ANCHORED ASPARTIC PROTEASE          S0001478","YPS6","PROTEIN DEGRADATION GPI-ANCHORED ASPARTIC PROTEASE S0001478","YPS6","Protein folding / QC",2
"YBR084C-A","YBR084C-A RPL19A     PROTEIN SYNTHESIS                       RIBOSOMAL PROTEIN L19A                  S0002156","-A","RPL19A PROTEIN SYNTHESIS RIBOSOMAL PROTEIN L19A S0002156","-A","Translation / Ribosome",3
"YER056C-A","YER056C-A RPL34A     PROTEIN SYNTHESIS                       RIBOSOMAL PROTEIN L34A                  S0002135","-A","RPL34A PROTEIN SYNTHESIS RIBOSOMAL PROTEIN L34A S0002135","-A.1","Translation / Ribosome",3
"YFR031C-A","YFR031C-A RPL2A      PROTEIN SYNTHESIS                       RIBOSOMAL PROTEIN L2A                   S0002104","-A","RPL2A PROTEIN SYNTHESIS RIBOSOMAL PROTEIN L2A S0002104","-A.2","Translation / Ribosome",3
"YJR094W-A","YJR094W-A RPL43B     PROTEIN SYNTHESIS                       RIBOSOMAL PROTEIN L43B                  S0003855","-A","RPL43B PROTEIN SYNTHESIS RIBOSOMAL PROTEIN L43B S0003855","-A.3","Translation / Ribosome",3
"YPL160W","YPL160W   CDC60      PROTEIN SYNTHESIS                       TRNA SYNTHETASE, LEUCYL                 S0006081","CDC60","PROTEIN SYNTHESIS TRNA SYNTHETASE, LEUCYL S0006081","CDC60","Translation / Ribosome",3
"YGL078C","YGL078C   DBP3       RRNA PROCESSING                         RNA HELICASE                            S0003046","DBP3","RRNA PROCESSING RNA HELICASE S0003046","DBP3","Translation / Ribosome",3
"YKR024C","YKR024C   DBP7       RIBOSOME BIOGENESIS                     PUTATIVE RNA HELICASE                   S0001732","DBP7","RIBOSOME BIOGENESIS PUTATIVE RNA HELICASE S0001732","DBP7","Translation / Ribosome",3
"YHR019C","YHR019C   DED81      PROTEIN SYNTHESIS                       TRNA SYNTHETASE, ARPARAGINYL            S0001061","DED81","PROTEIN SYNTHESIS TRNA SYNTHETASE, ARPARAGINYL S0001061","DED81","Translation / Ribosome",3
