gene_id,scer_gene_name,functional_category,category_order,desc_raw
YNL274C,YNL274C,Other,11,PUTATIVE ALPHA-KETOISOCAPROATE REDUCTASES0005218
YOL084W,YOL084W,Other,11,MAJOR FACILITATOR SUPERFAMILY S0005444
YOR272W,YTM1,Other,11,CYTOSKELETON (PUTATIVE) MICROTUBULE-ASSOCIATED PROTEIN S0005798
YIR026C,YVH1,Other,11,SPORULATION PROTEIN PHOSPHATASE S0001465
YNL241C,ZWF1,Other,11,PENTOSE PHOSPHATE CYCLE GLUCOSE-6-PHOSPHATE DEHYDROGENASE S0005185
YMR173W,-A,Unknown,12,UNKNOWN UNKNOWN S0004785
YLR397C,AFG2,Unknown,12,UNKNOWN (PUTATIVE) AAA ATPASE S0004389
YLR267W,BOP2,Unknown,12,UNKNOWN UNKNOWN; BYPASS OF PAM1 S0004257
YBR155W,CNS1,Unknown,12,UNKNOWN UNKNOWN; SIMILAR TO STI1P; SUPPRESSES CYS0000359
YDL031W,DBP10,Unknown,12,UNKNOWN UNKNOWN; SIMILAR TO RNA HELICASES S0002189
YHR169W,DBP8,Unknown,12,UNKNOWN RNA HELICASE S0001212
YLR276C,DBP9,Unknown,12,UNKNOWN PUTATIVE RNA HELICASE S0004266
YLR129W,DIP2,Unknown,12,UNKNOWN INTERACTS WITH DOM3P S0004119
YNL001W,DOM34,Unknown,12,PROTEIN SYNTHESIS (PUTATIVE) UNKNOWN S0004946
YKL172W,EBP2,Unknown,12,UNKNOWN UNKNOWN; EBNA1-BINDING PROTEIN HOMOLOG S0001655
YLL038C,ENT4,Unknown,12,ENDOCYTOSIS (PUTATIVE) UNKNOWN; EPSIN HOMOLOG S0003961
YAL036C,FUN11,Unknown,12,UNKNOWN UNKNOWN; SIMILAR TO XENOPUS LAEVIS GTP-BS0000034
YAL035W,FUN12,Unknown,12,UNKNOWN UNKNOWN; SIMILAR TO BACILLUS SUBTILIS IFS0000033
YNR002C,FUN34,Unknown,12,UNKNOWN UNKNOWN S0005285
YMR307W,GAS1,Unknown,12,UNKNOWN CELL SURFACE GLYCOPROTEIN S0004924
YMR136W,GAT2,Unknown,12,UNKNOWN UNKNOWN S0004744
YDR096W,GIS1,Unknown,12,UNKNOWN UNKNOWN S0002503
YNL255C,GIS2,Unknown,12,UNKNOWN UNKNOWN; GIG3 SUPPRESSOR S0005199
YMR290C,HAS1,Unknown,12,UNKNOWN RNA HELICASE S0004903
YGR187C,HGH1,Unknown,12,UNKNOWN UNKNOWN; SIMILAR TO HUMAN HMG1P AND HMG2S0003419
YPR067W,ISA2,Unknown,12,UNKNOWN UNKNOWN; IRON SULFUR ASSEMBLY -- ISCA/NIS0006271
YPL263C,KEL3,Unknown,12,UNKNOWN UNKNOWN; SIMILAR TO KEL1P AND KEL2P S0006184
YOR233W,KIN4,Unknown,12,UNKNOWN PROTEIN KINASE S0005759
YCR091W,KIN82,Unknown,12,UNKNOWN PROTEIN KINASE S0000687
YLL019C,KNS1,Unknown,12,UNKNOWN PROTEIN KINASE S0003942
YCL059C,KRR1,Unknown,12,UNKNOWN ESSENTIAL S0000564
YPL054W,LEE1,Unknown,12,UNKNOWN UNKNOWN S0005975
YKL143W,LTV1,Unknown,12,UNKNOWN UNKNOWN; REQUIRED FOR VIABILITY AT LOW TS0001626
YKL021C,MAK11,Unknown,12,DSRNA VIRUS PROPAGATION UNKNOWN; ESSENTIAL GENE S0001504
YAL025C,MAK16,Unknown,12,DSRNA VIRUS PROPAGATION UNKNOWN; ESSENTIAL GENE S0000023
YJL183W,MNN11,Unknown,12,UNKNOWN MANNOSYLTRANSFERASE COMPLEX SUBUNIT S0003719
YOR188W,MSB1,Unknown,12,POLARIZED GROWTH UNKNOWN S0005714
YGR023W,MTL1,Unknown,12,SIGNALING (PUTATIVE) UNKNOWN; ACTS WITH MID2P S0003255
YBL024W,NCL1,Unknown,12,UNKNOWN UNKNOWN; SIMILAR TO HUMAN PROLIFERATING S0000120
YMR309C,NIP1,Unknown,12,"NUCLEAR PROTEIN TARGETING UNKNOWN, SIMILAR TO NSR1 S0004926"
YDL167C,NRP1,Unknown,12,UNKNOWN UNKNOWN S0002326
YGR123C,PPT1,Unknown,12,UNKNOWN PROTEIN PHOSPHATASE S0003355
YLR196W,PWP1,Unknown,12,UNKNOWN UNKNOWN; SIMILAR TO BETA-TRANSDUCIN SUPES0004186
YCR057C,PWP2,Unknown,12,CYTOSKELETON (PUTATIVE) UNKNOWN S0000653
YKR056W,RNC1,Unknown,12,UNKNOWN ENDO-EXONUCLEASE S0001764
YPL152W,RRD2,Unknown,12,DRUG RESISTANCE UNKNOWN S0006073
YGR248W,SOL4,Unknown,12,UNKNOWN UNKNOWN; SIMILAR TO SOL3P S0003480
YER150W,SPI1,Unknown,12,UNKNOWN UNKNOWN; SIMILAR TO SED1P; INDUCED IN STS0000952
YHR066W,SSF1,Unknown,12,MATING (PUTATIVE) UNKNOWN S0001108
YKL124W,SSH4,Unknown,12,UNKNOWN SUPPRESSES SHR3 MUTATION S0001607
YMR053C,STB2,Unknown,12,UNKNOWN BINDS SIN3P S0004657
YDR169C,STB3,Unknown,12,UNKNOWN BINDS SIN3P S0002576
YLR150W,STM1,Unknown,12,UNKNOWN UNKNOWN; SUPPRESSOR OF TOM1 AND POP2 MUTS0004140
YNL066W,SUN4,Unknown,12,AGING UNKNOWN S0005010
YDR161W,TCI1,Unknown,12,UNKNOWN INTERACTS WITH PP2C S0002568
YDR350C,TCM10,Unknown,12,UNKNOWN UNKNOWN S0002758
YPL230W,USV1,Unknown,12,UNKNOWN UNKNOWN; EXPRESSION INCREASES UPON STARVS0006151
YEL040W,UTR2,Unknown,12,UNKNOWN UNKNOWN S0000766
YAL061W,YAL061W,Unknown,12,UNKNOWN; SIMILAR TO ALCOHOL/SORBITOL DEHS0000057
YAR073W,YAR073W,Unknown,12,"UNKNOWN; SIMILAR TO PUR5P, MAY BE AN INS0000095"
YAR075W,YAR075W,Unknown,12,UNKNOWN S0002145
YBL028C,YBL028C,Unknown,12,UNKNOWN S0000124
YBL049W,YBL049W,Unknown,12,UNKNOWN S0000145
YBL054W,YBL054W,Unknown,12,UNKNOWN S0000150
YBL064C,YBL064C,Unknown,12,UNKNOWN; SIMILAR TO TSA1P S0000160
YBL077W,YBL077W,Unknown,12,UNKNOWN S0000173
YBR006W,YBR006W,Unknown,12,UNKNOWN; SIMILAR TO ALDEHYDE DEHYDROGENAS0000210
