Orthogroup,gene_id,original_id,cagl_id,scer_gene_name,functional_category,category_order
NA,YKL150W,NA,NA,MCR1,Membrane / Trafficking,6
NA,YGR158C,NA,NA,MTR3,Membrane / Trafficking,6
NA,YPR149W,NA,NA,NCE102,Membrane / Trafficking,6
NA,YHR042W,NA,NA,NCP1,Membrane / Trafficking,6
NA,YNL183C,NA,NA,NPR1,Membrane / Trafficking,6
NA,YER009W,NA,NA,NTF2,Membrane / Trafficking,6
NA,YBR106W,NA,NA,PHO88,Membrane / Trafficking,6
NA,YGL008C,NA,NA,PMA1,Membrane / Trafficking,6
NA,YGL006W,NA,NA,PMC1,Membrane / Trafficking,6
NA,YHR026W,NA,NA,PPA1,Membrane / Trafficking,6
NA,YJR059W,NA,NA,PTK2,Membrane / Trafficking,6
NA,YKL188C,NA,NA,PXA2,Membrane / Trafficking,6
NA,YMR079W,NA,NA,SEC14,Membrane / Trafficking,6
NA,YGR229C,NA,NA,SMI1,Membrane / Trafficking,6
NA,YJR104C,NA,NA,SOD1,Membrane / Trafficking,6
NA,YKL154W,NA,NA,SRP102,Membrane / Trafficking,6
NA,YKL122C,NA,NA,SRP21,Membrane / Trafficking,6
NA,YBR283C,NA,NA,SSH1,Membrane / Trafficking,6
NA,YLR250W,NA,NA,SSP120,Membrane / Trafficking,6
NA,YER118C,NA,NA,SSU81,Membrane / Trafficking,6
NA,YDR513W,NA,NA,TTR1,Membrane / Trafficking,6
NA,YMR197C,NA,NA,VTI1,Membrane / Trafficking,6
NA,YKL065C,NA,NA,YET1,Membrane / Trafficking,6
NA,YGL104C,NA,NA,YGL104C,Membrane / Trafficking,6
NA,YJL198W,NA,NA,YJL198W,Membrane / Trafficking,6
NA,YOR374W,NA,NA,ALD4,Mitochondria / Respiration,7
NA,YER141W,NA,NA,COX15,Mitochondria / Respiration,7
NA,YEL039C,NA,NA,CYC7,Mitochondria / Respiration,7
NA,YMR081C,NA,NA,ISF1,Mitochondria / Respiration,7
NA,YKL093W,NA,NA,MBR1,Mitochondria / Respiration,7
NA,YBR026C,NA,NA,MRF1,Mitochondria / Respiration,7
NA,YJL208C,NA,NA,NUC1,Mitochondria / Respiration,7
NA,YIL136W,NA,NA,OM45,Mitochondria / Respiration,7
NA,YNL055C,NA,NA,POR1,Mitochondria / Respiration,7
NA,YGR008C,NA,NA,STF2,Mitochondria / Respiration,7
NA,YER053C,NA,NA,YER053C,Mitochondria / Respiration,7
NA,YNL141W,NA,NA,AAH1,Carbon metabolism,8
NA,YBR149W,NA,NA,ARA1,Carbon metabolism,8
NA,YHR137W,NA,NA,ARO9,Carbon metabolism,8
NA,YPR026W,NA,NA,ATH1,Carbon metabolism,8
NA,YAL038W,NA,NA,CDC19,Carbon metabolism,8
NA,YNR001C,NA,NA,CIT1,Carbon metabolism,8
NA,YHR144C,NA,NA,DCD1,Carbon metabolism,8
NA,YBR252W,NA,NA,DUT1,Carbon metabolism,8
NA,YOR317W,NA,NA,FAA1,Carbon metabolism,8
NA,YJL155C,NA,NA,FBP26,Carbon metabolism,8
NA,YKR009C,NA,NA,FOX2,Carbon metabolism,8
NA,YKR058W,NA,NA,GLG1,Carbon metabolism,8
NA,YCL040W,NA,NA,GLK1,Carbon metabolism,8
NA,YML004C,NA,NA,GLO1,Carbon metabolism,8
NA,YDL022W,NA,NA,GPD1,Carbon metabolism,8
NA,YDL021W,NA,NA,GPM2,Carbon metabolism,8
NA,YLR258W,NA,NA,GSY2,Carbon metabolism,8
NA,YIR038C,NA,NA,GTT1,Carbon metabolism,8
