gene_id,t0015,t0030,t0045,t0060,t0090,t0120,t0180,t0240,t0360,t0480
GWK60_I04807,0,0,0,0,1.1219282230465375,1.2993832379954438,1.5131622719891082,1.3833127180959837,1.4425468730298838,1.4023153317609256
GWK60_I04829,0,0,0,0,-1.301746300101244,-1.1596206484971834,0,-1.318495394046867,-1.3814498589326742,-1.7125487028150117
GWK60_I04851,0,1.015156807723152,0,-2.154571109101288,-1.379608951827398,0,0,0,0,0
GWK60_I04895,0,0,0,1.0238879622759032,1.4095255854173885,1.749090060307215,1.7097791439339536,1.6400772148498104,1.7864847315531054,1.9488268963180393
GWK60_I04939,0,0,-1.1241459587930092,-2.7659408480832153,-1.985105383816536,-1.5216984350773677,0,0,0,0
GWK60_I04983,0,0,1.2907043322298015,1.5710973969102906,1.6836075907324248,1.3724655947896804,1.1216133750690742,1.283794696696173,1.2944487567694405,1.2147906293872033
GWK60_I05005,0,1.3169814317585151,2.1760293707845357,2.179732812124952,1.8008765451079147,1.429839119401292,1.552137495261561,1.5916256605025876,1.6109282534173592,1.5339966116625314
GWK60_I05049,0,0,0,1.4086937603309528,0,0,0,0,0,0
GWK60_I05093,0,1.6793733040976258,0,-1.5400353811994008,-1.6741026937076442,-1.4614569853895598,-1.223344754979601,-1.149143419652463,0,-1.057776056127245
GWK60_I05115,0,0,0,0,-1.4581910517979575,-1.252156024140912,0,0,0,-1.0572905497264335
GWK60_I05159,0,0,0,0,0,0,0,0,0,1.1123501549381791
GWK60_I05203,0,-1.5735570775203616,-1.0687840944336486,0,0,0,0,0,0,1.0731178961061028
GWK60_I05225,-1.594534054710413,0,-2.1671508409839677,-2.3588992862623455,-1.7598212988558202,-1.4954920339693742,-1.4104078637135444,-1.6029583207620417,-1.230905320960294,0
GWK60_I05247,0,0,0,0,0,0,0,0,0,-1.0006218074312436
GWK60_I05269,0,0,0,0,0,0,0,0,1.1478054314631492,1.212263811002163
GWK60_I05291,0,1.1302883868278764,0,-4.304704568445123,-3.869385327587502,-3.212100192528406,-1.7476732174636114,-1.2712798741208475,0,0
GWK60_I05313,0,1.1315338767158754,1.5194438650762376,1.2785308995033278,0,0,0,0,0,0
GWK60_I05335,0,0,0,1.1829797883369302,0,0,0,0,-2.1389677927571036,-2.513988461501198
GWK60_I05357,-3.3297263711895293,-1.7592272592089693,-1.6277874996014203,-1.973947635624256,-2.2497762056090855,-2.438095982829082,-1.833237789527712,-1.9358592668815804,-1.8904845943478612,-2.4889236599212943
