gene_id,t0015,t0030,t0045,t0060,t0090,t0120,t0150,t0180,t0210,t0240,t0360,t0480
orf19.7085,1.440210060917028,2.1447095045598834,0,2.997814021838356,3.345950002017434,3.8585296898443464,2.755413423852952,2.9924690367079414,3.4684292913638903,3.69883256411906,4.565033345614809,4.7250429600993025
orf19.7088,2.4392562000778053,2.8571834652323425,2.6882936799368675,1.7367417829751923,0,0,0,1.3801170330625576,1.8022487025250449,1.8144378045867957,1.7755101614862905,1.7580377381803711
orf19.7091,-1.5144924526928258,-2.8114928100571377,-2.8287154094964104,-2.4829465953842567,-1.9875780893975177,-1.4323007829881156,-1.3284403924611592,-1.0821434470660318,0,0,0,0
orf19.7093,1.470655719992833,0,0,0,0,0,0,0,0,0,0,0
orf19.7094,0,0,0,0,0,0,2.3109417655015725,0,0,0,0,0
orf19.7095,-1.2790710885496237,-1.243364712489861,-1.269506748127926,-1.8660602407802975,-2.1350845993964556,-2.026468498122884,-1.805147827811972,-1.50756429384322,-1.335175259825112,-1.2699823462642148,-1.31311177943215,-1.5259503238422978
orf19.7096,-1.1571317291422123,-1.4082644927888297,-1.3790150682991738,-1.446133663663096,0,0,0,0,0,0,0,0
orf19.7098,-1.2317092227139654,-3.076657439069007,-3.1132285792508294,-2.844140026973683,-2.1197751529810884,-1.5749989267598534,-1.721205447235317,-1.568969255850697,-1.2741822866364338,-1.0994780962458537,-1.0960766127988766,-1.3482810587085838
orf19.7100,-1.735591274390273,0,0,0,0,0,0,-1.25538993057441,-1.507050822221227,-1.6439452171129465,-2.1443406784501566,-2.1373033386131186
orf19.7104,0,0,0,-1.506466544449062,0,0,0,0,0,0,-1.169517473498723,-1.5776874653784578
orf19.7106,0,0,0,-1.1484211624503011,0,0,0,0,0,0,0,0
orf19.7107,3.5463653346067883,4.432196840837872,4.414222426532358,3.345916847178904,1.177668202073054,1.2253058931549867,2.3767557261965733,3.4584084455205057,3.917477467636944,3.959153911954312,3.891820278046623,3.9736126494751742
orf19.7108,0,0,0,0,0,0,0,1.0002079593028068,1.2327992215309225,1.2569747308979595,1.4830100811141336,1.3653325265648422
orf19.711,0,-2.322405460443662,-2.3805936214659926,-2.514090339290962,-2.0243374673000436,-1.5202047500428946,0,0,0,0,0,0
orf19.7110,0,0,0,0,0,0,0,0,0,0,1.2083619297362458,1.119409983152076
orf19.7111.1,0,0,0,0,0,3.611433570567384,4.810442473593359,5.663702490859408,6.499484332902285,7.041757432039123,7.718325479328413,7.27953066282402
