"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"gene-KLLA0_E14213g",293.912038350401,-3.78748304295068,0.229989470566421,6.01724886283051e-62,1.03400082465629e-60
"gene-KLLA0_E14257g",242.999453325197,-2.40676651320826,0.216302447300709,9.77983117524531e-30,1.00296951254312e-28
"gene-KLLA0_E14367g",357.009537665257,-3.17826228703243,0.192533147024453,2.96218267933997e-62,5.15921851066059e-61
"gene-KLLA0_E15093g",494.381527609225,-3.69960851360022,0.189687214286194,1.12685514666239e-85,2.64373595595952e-84
"gene-KLLA0_E15467g",1015.98025666967,-3.02285912401069,0.134828167009173,2.29164621404015e-112,7.26819644922116e-111
"gene-KLLA0_E15533g",168.821385780806,2.36943570418023,0.260442400785344,1.06020457552249e-20,7.9872890161797e-20
"gene-KLLA0_E15665g",13.5534122671169,2.48961452556316,1.02433261143001,0.00128137771712563,0.00304660745515571
"gene-KLLA0_E15995g",131.298175220443,-2.91598009901437,0.296162057592912,7.06470643270153e-24,5.97014171895073e-23
"gene-KLLA0_E16281g",8454.73802570881,-2.39277645632717,0.0784325218744699,2.15322802155714e-205,1.94894191894285e-203
"gene-KLLA0_E16897g",5142.68144656186,3.73302558126309,0.0916186723087601,0,0
"gene-KLLA0_E17425g",816.275837852355,-3.21198808763317,0.138309510347131,2.44863096428622e-120,8.50072019898826e-119
"gene-KLLA0_E17799g",792.226572448177,-3.64355254344427,0.156543822650944,6.87361321292416e-121,2.40249147537444e-119
"gene-KLLA0_E17865g",133.63805657527,-2.69321427263777,0.289063472566621,1.14611996749311e-21,8.97677498929817e-21
"gene-KLLA0_E18723g",3576.19274372774,-2.52992435338106,0.0873135675246255,1.25390543818053e-185,9.61577036025603e-184
"gene-KLLA0_E19317g",24.2335471548179,-2.37849028868254,0.677492562757822,4.02212301782471e-05,0.000117285289816024
"gene-KLLA0_E19339g",96.5401699363032,-2.71070879365458,0.348119232600091,6.80738747552675e-16,4.32340628544579e-15
"gene-KLLA0_E19515g",1333.43163914192,-3.76476866923018,0.13192514745086,4.17785502988517e-180,2.90078637075e-178
"gene-KLLA0_E19581g",751.515487810868,-2.33906465227191,0.143630028304693,1.33964462452833e-60,2.23477080546317e-59
