gene_id,tp,log2FC
KLLA0_A01573g,t0030,0
KLLA0_A01573g,t0045,0
KLLA0_A01573g,t0060,0
KLLA0_A01573g,t0090,0
KLLA0_A01573g,t0120,0
KLLA0_A01573g,t0150,-1.0086688363843672
KLLA0_A01573g,t0180,0
KLLA0_A01573g,t0210,0
KLLA0_A01573g,t0240,0
KLLA0_A01573g,t0360,0
KLLA0_A01573g,t0480,0
KLLA0_A01606g,t0015,0
KLLA0_A01606g,t0030,0
KLLA0_A01606g,t0045,0
KLLA0_A01606g,t0060,0
KLLA0_A01606g,t0090,0
KLLA0_A01606g,t0120,1.003459083589637
KLLA0_A01606g,t0150,0
KLLA0_A01606g,t0180,0
KLLA0_A01606g,t0210,0
KLLA0_A01606g,t0240,0
KLLA0_A01606g,t0360,0
KLLA0_A01606g,t0480,0
KLLA0_A01694g,t0015,-1.0349458577688702
KLLA0_A01694g,t0030,3.5741978602302433
KLLA0_A01694g,t0045,4.51911672752294
KLLA0_A01694g,t0060,4.0987887386288016
KLLA0_A01694g,t0090,3.933740394180683
KLLA0_A01694g,t0120,4.02353487236909
KLLA0_A01694g,t0150,4.133652875683339
KLLA0_A01694g,t0180,4.202114129361278
KLLA0_A01694g,t0210,4.285177836209174
KLLA0_A01694g,t0240,4.4026361041232285
KLLA0_A01694g,t0360,4.616341309200402
KLLA0_A01694g,t0480,4.684747846693608
KLLA0_A01738g,t0015,0
KLLA0_A01738g,t0030,0
KLLA0_A01738g,t0045,0
KLLA0_A01738g,t0060,0
KLLA0_A01738g,t0090,0
KLLA0_A01738g,t0120,-1.012328342152141
KLLA0_A01738g,t0150,-1.1241292141757884
KLLA0_A01738g,t0180,-1.2394813426565645
KLLA0_A01738g,t0210,-1.265576855626704
KLLA0_A01738g,t0240,-1.3111235021780885
KLLA0_A01738g,t0360,-1.3155179033114313
KLLA0_A01738g,t0480,-1.452056322611086
KLLA0_A01760g,t0015,0
KLLA0_A01760g,t0030,0
KLLA0_A01760g,t0045,0
KLLA0_A01760g,t0060,0
KLLA0_A01760g,t0090,0
KLLA0_A01760g,t0120,0
KLLA0_A01760g,t0150,1.086231764018862
KLLA0_A01760g,t0180,1.1726788690971346
KLLA0_A01760g,t0210,1.3144364012524188
KLLA0_A01760g,t0240,1.4027898326134935
KLLA0_A01760g,t0360,1.493838053217607
KLLA0_A01760g,t0480,1.6670973787267838
KLLA0_A01804g,t0015,0
KLLA0_A01804g,t0030,0
KLLA0_A01804g,t0045,0
KLLA0_A01804g,t0060,0
KLLA0_A01804g,t0090,0
KLLA0_A01804g,t0120,0
KLLA0_A01804g,t0150,0
KLLA0_A01804g,t0180,0
KLLA0_A01804g,t0210,0
KLLA0_A01804g,t0240,0
KLLA0_A01804g,t0360,0
KLLA0_A01804g,t0480,1.0653595542279464
KLLA0_A01848g,t0015,1.3235660516837748
KLLA0_A01848g,t0030,1.019176826458239
KLLA0_A01848g,t0045,0
KLLA0_A01848g,t0060,0
KLLA0_A01848g,t0090,0
KLLA0_A01848g,t0120,1.6399510274581024
KLLA0_A01848g,t0150,1.9910610639768904
KLLA0_A01848g,t0180,2.1310724007005466
KLLA0_A01848g,t0210,2.0313410540406465
KLLA0_A01848g,t0240,2.07764549573055
KLLA0_A01848g,t0360,2.1964340654031953
KLLA0_A01848g,t0480,2.474726610852651
KLLA0_A01903g,t0015,0
KLLA0_A01903g,t0030,1.287322245104755
KLLA0_A01903g,t0045,0
KLLA0_A01903g,t0060,0
KLLA0_A01903g,t0090,-3.259971845535891
KLLA0_A01903g,t0120,-6.031391677777771
KLLA0_A01903g,t0150,-6.254097938583634
KLLA0_A01903g,t0180,-6.5122606302082175
KLLA0_A01903g,t0210,-6.223107383052596
KLLA0_A01903g,t0240,-6.112208284610254
KLLA0_A01903g,t0360,-5.13244289834544
KLLA0_A01903g,t0480,-4.762340688971896
KLLA0_A01947g,t0015,1.0433727043598124
KLLA0_A01947g,t0030,0
KLLA0_A01947g,t0045,0
KLLA0_A01947g,t0060,0
KLLA0_A01947g,t0090,0
KLLA0_A01947g,t0120,0
KLLA0_A01947g,t0150,0
KLLA0_A01947g,t0180,0
KLLA0_A01947g,t0210,0
KLLA0_A01947g,t0240,0
KLLA0_A01947g,t0360,0
KLLA0_A01947g,t0480,0
KLLA0_A01991g,t0015,0
KLLA0_A01991g,t0030,-1.1445271472895373
KLLA0_A01991g,t0045,0
KLLA0_A01991g,t0060,0
KLLA0_A01991g,t0090,0
KLLA0_A01991g,t0120,0
KLLA0_A01991g,t0150,0
KLLA0_A01991g,t0180,0
KLLA0_A01991g,t0210,0
KLLA0_A01991g,t0240,0
KLLA0_A01991g,t0360,0
KLLA0_A01991g,t0480,0
KLLA0_A02013g,t0015,-1.1465781195376332
KLLA0_A02013g,t0030,-2.4122125544974184
KLLA0_A02013g,t0045,-1.6862510232279166
KLLA0_A02013g,t0060,0
KLLA0_A02013g,t0090,0
KLLA0_A02013g,t0120,0
KLLA0_A02013g,t0150,0
KLLA0_A02013g,t0180,0
KLLA0_A02013g,t0210,0
KLLA0_A02013g,t0240,0
KLLA0_A02013g,t0360,0
KLLA0_A02013g,t0480,0
KLLA0_A02035g,t0015,0
KLLA0_A02035g,t0030,1.2650598191339255
KLLA0_A02035g,t0045,0
KLLA0_A02035g,t0060,0
KLLA0_A02035g,t0090,0
KLLA0_A02035g,t0120,-1.2733546799891005
KLLA0_A02035g,t0150,-1.2802673365489547
KLLA0_A02035g,t0180,-1.2525470898662052
