gene_id,tp,log2FC
orf19.11,t0180,2.8640889219201604
orf19.11,t0210,3.864881660235072
orf19.11,t0240,4.082207685532753
orf19.11,t0360,4.804901953611596
orf19.11,t0480,5.033502905897578
orf19.1107,t0015,0
orf19.1107,t0030,-1.8972625567383672
orf19.1107,t0045,-1.6998279096564637
orf19.1107,t0060,-1.812363642101076
orf19.1107,t0090,-1.4656926386338749
orf19.1107,t0120,-1.21921444319183
orf19.1107,t0150,-1.006245701557697
orf19.1107,t0180,-1.0631658759519766
orf19.1107,t0210,0
orf19.1107,t0240,0
orf19.1107,t0360,0
orf19.1107,t0480,0
orf19.1108,t0015,0
orf19.1108,t0030,-2.673307807577273
orf19.1108,t0045,-2.579460973024167
orf19.1108,t0060,-2.942279052409836
orf19.1108,t0090,-3.5226993245583484
orf19.1108,t0120,-3.352281794853195
orf19.1108,t0150,-3.2381170717394903
orf19.1108,t0180,-2.9067231577309625
orf19.1108,t0210,-2.5408742517892806
orf19.1108,t0240,-2.453885117570175
orf19.1108,t0360,-2.1916767592765254
orf19.1108,t0480,-2.369064045648567
orf19.1109,t0015,0
orf19.1109,t0030,0
orf19.1109,t0045,1.0047323319035462
orf19.1109,t0060,1.0183052906619352
orf19.1109,t0090,0
orf19.1109,t0120,0
orf19.1109,t0150,0
orf19.1109,t0180,0
orf19.1109,t0210,0
orf19.1109,t0240,0
orf19.1109,t0360,0
orf19.1109,t0480,0
orf19.111,t0015,0
orf19.111,t0030,0
orf19.111,t0045,0
orf19.111,t0060,-1.7297958737010837
orf19.111,t0090,-1.6963924832976571
orf19.111,t0120,-1.4679808969860977
orf19.111,t0150,-1.276598029303119
orf19.111,t0180,-1.2901347177136857
orf19.111,t0210,-1.5339937207506904
orf19.111,t0240,-1.5047079432616726
orf19.111,t0360,-1.531988848270725
orf19.111,t0480,-1.968394760311073
orf19.1112,t0015,0
orf19.1112,t0030,0
orf19.1112,t0045,0
orf19.1112,t0060,0
orf19.1112,t0090,0
orf19.1112,t0120,0
orf19.1112,t0150,0
orf19.1112,t0180,0
orf19.1112,t0210,0
orf19.1112,t0240,-1.1159227502365103
orf19.1112,t0360,-1.1802724852456905
orf19.1112,t0480,-1.116772192544013
orf19.1113,t0015,0
orf19.1113,t0030,-1.0053576665676196
orf19.1113,t0045,0
orf19.1113,t0060,-1.3445958495399633
orf19.1113,t0090,-1.380386327730033
orf19.1113,t0120,0
orf19.1113,t0150,0
orf19.1113,t0180,0
orf19.1113,t0210,0
orf19.1113,t0240,0
orf19.1113,t0360,0
orf19.1113,t0480,0
orf19.1114,t0015,0
orf19.1114,t0030,1.0483381698373424
orf19.1114,t0045,0
orf19.1114,t0060,0
orf19.1114,t0090,0
orf19.1114,t0120,0
orf19.1114,t0150,0
orf19.1114,t0180,0
orf19.1114,t0210,0
orf19.1114,t0240,0
orf19.1114,t0360,0
orf19.1114,t0480,0
orf19.1115,t0015,0
orf19.1115,t0030,1.2822782487076985
orf19.1115,t0045,1.2506995526044855
orf19.1115,t0060,0
orf19.1115,t0090,0
orf19.1115,t0120,0
orf19.1115,t0150,0
orf19.1115,t0180,0
orf19.1115,t0210,0
orf19.1115,t0240,0
orf19.1115,t0360,-1.1438097218511194
orf19.1115,t0480,-1.2455809407791754
orf19.1116,t0015,-1.392459781022633
orf19.1116,t0030,0
orf19.1116,t0045,0
orf19.1116,t0060,0
orf19.1116,t0090,0
orf19.1116,t0120,0
orf19.1116,t0150,0
orf19.1116,t0180,0
orf19.1116,t0210,0
orf19.1116,t0240,0
orf19.1116,t0360,0
orf19.1116,t0480,0
orf19.1117,t0015,2.4571140721043627
orf19.1117,t0030,0
orf19.1117,t0045,0
orf19.1117,t0060,0
orf19.1117,t0090,0
orf19.1117,t0120,0
orf19.1117,t0150,0
orf19.1117,t0180,0
orf19.1117,t0210,0
orf19.1117,t0240,0
orf19.1117,t0360,2.285283169227286
orf19.1117,t0480,3.947076953150188
orf19.1119,t0015,0
orf19.1119,t0030,0
orf19.1119,t0045,0
orf19.1119,t0060,0
orf19.1119,t0090,0
orf19.1119,t0120,0
orf19.1119,t0150,0
orf19.1119,t0180,0
orf19.1119,t0210,0
orf19.1119,t0240,0
orf19.1119,t0360,-1.0391176329072351
orf19.1119,t0480,-1.1362851060638703
orf19.1120,t0015,0
orf19.1120,t0030,0
orf19.1120,t0045,0
orf19.1120,t0060,-1.0070162253757142
orf19.1120,t0090,-1.0574866295209835
orf19.1120,t0120,-1.0100757524488255
orf19.1120,t0150,0
orf19.1120,t0180,0
orf19.1120,t0210,0
orf19.1120,t0240,0
orf19.1120,t0360,0
orf19.1120,t0480,0
orf19.1121,t0015,0
orf19.1121,t0030,0
orf19.1121,t0045,0
orf19.1121,t0060,0
orf19.1121,t0090,0
orf19.1121,t0120,0
orf19.1121,t0150,0
orf19.1121,t0180,0
orf19.1121,t0210,1.0249124333125637
orf19.1121,t0240,0
orf19.1121,t0360,1.480418373940487
orf19.1121,t0480,1.3474368270434172
orf19.1122,t0015,0
orf19.1122,t0030,0
orf19.1122,t0045,0
orf19.1122,t0060,0
orf19.1122,t0090,0
orf19.1122,t0120,0
orf19.1122,t0150,0
orf19.1122,t0180,0
orf19.1122,t0210,0
orf19.1122,t0240,2.1328840464731895
orf19.1122,t0360,0
orf19.1122,t0480,0
orf19.1124,t0015,0
orf19.1124,t0030,0
orf19.1124,t0045,0
orf19.1124,t0060,0
orf19.1124,t0090,0
orf19.1124,t0120,0
orf19.1124,t0150,0
orf19.1124,t0180,1.117930378713632
orf19.1124,t0210,1.4984142955949846
orf19.1124,t0240,1.4778468871885304
orf19.1124,t0360,1.692700876701365
orf19.1124,t0480,1.64876377352873
orf19.1124.2,t0015,1.6812993602947273
orf19.1124.2,t0030,2.5650521477339545
orf19.1124.2,t0045,2.5909729078797015
orf19.1124.2,t0060,1.8333996023054255
orf19.1124.2,t0090,0
orf19.1124.2,t0120,0
orf19.1124.2,t0150,1.148595659346792
orf19.1124.2,t0180,1.8108976404428467
orf19.1124.2,t0210,2.086024257404868
orf19.1124.2,t0240,2.181795168997703
orf19.1124.2,t0360,2.324694421831628
orf19.1124.2,t0480,2.165065289374375
orf19.113,t0015,0
orf19.113,t0030,-1.434931322041621
orf19.113,t0045,-3.094384973283872
orf19.113,t0060,-2.3256819781093503
orf19.113,t0090,-1.9714185929295387
orf19.113,t0120,0
orf19.113,t0150,0
orf19.113,t0180,0
orf19.113,t0210,0
orf19.113,t0240,0
orf19.113,t0360,0
orf19.113,t0480,1.0014123349731316
orf19.1144,t0015,0
orf19.1144,t0030,0
orf19.1144,t0045,0
orf19.1144,t0060,0
orf19.1144,t0090,0
orf19.1144,t0120,0
orf19.1144,t0150,0
orf19.1144,t0180,0
