gene_id,treated_b1,treated_b2,untreated_b1,untreated_b2
orf19.1753,5179,3464,446,457
orf19.1754,2825,2136,1532,1492
orf19.1755,2237,1484,1121,1136
orf19.1756,7009,4895,1964,2241
orf19.1757,749,531,398,386
orf19.1759,1487,1129,804,794
orf19.176,79,63,446,475
orf19.1760,8183,5801,2880,3000
orf19.1761,534,319,411,399
orf19.1762,855,545,426,432
orf19.1763,108,59,108,141
orf19.1764,1341,928,1062,973
orf19.1765,544,395,260,269
orf19.1766,16,26,12,9
orf19.1767,647,426,289,290
orf19.1768,116,90,77,85
orf19.1769,506,337,251,238
orf19.177,399,258,489,568
orf19.1770,4968,3497,2143,2240
orf19.1771,1261,899,305,278
orf19.1772,2186,1331,215,201
orf19.1773,1184,857,767,754
orf19.1774,19,17,18,33
orf19.1776,314,247,292,259
orf19.1777,4204,2782,3211,3531
orf19.1778,0,0,0,0
orf19.1779,20122,14506,20151,21762
orf19.178,529,334,351,404
orf19.1780,20,12,20,11
orf19.1782,2108,1658,2008,1968
orf19.1782.1,35,35,21,42
orf19.1783,5540,3814,1343,1646
orf19.1785,1495,1017,2554,2671
orf19.1789,588,403,338,303
orf19.1789.1,7256,5057,22518,23285
orf19.1791,2867,1764,239,217
orf19.1792,374,210,767,838
orf19.1793,280,180,374,395
orf19.1794,344,205,118,134
orf19.1795,1210,737,461,588
orf19.1795.1,49,30,76,66
orf19.1796,1921,1400,2179,2243
orf19.1797,902,552,209,175
orf19.1798,1361,839,527,597
orf19.1799,4527,3242,3032,3159
orf19.18,20927,14210,2641,2899
orf19.1800,560,369,822,829
orf19.1801,3438,2446,3150,2972
orf19.1802,3803,2532,1268,1345
orf19.1803,329,220,234,218
orf19.1804,1221,820,639,683
orf19.1805,2049,1411,1797,1986
orf19.1806,27,24,7,12
orf19.1808,1295,763,930,973
orf19.1813,3068,2180,1503,1824
orf19.1814,4149,2971,3472,3845
orf19.1815,11944,8117,9291,9286
orf19.1816,1285,1045,1011,1135
orf19.182,1351,931,465,426
orf19.1821,2,2,1,0
orf19.1822,18,14,3,6
orf19.1823,266,190,763,784
orf19.1824,7,0,4,0
orf19.1825,180,92,628,651
orf19.1826,553,427,261,280
orf19.1827,13,7,5,15
orf19.1828,421,258,283,275
orf19.183,340,253,664,754
orf19.1830,27,19,16,13
orf19.1831,0,0,0,0
orf19.1832,2103,1434,5340,5342
orf19.1833,11702,7324,1253,1365
orf19.1834,417,260,250,291
orf19.1835,843,607,1148,1162
orf19.1836,427,311,266,246
orf19.1837,3531,2601,2963,3143
orf19.1839,13748,9042,957,1002
orf19.184,614,406,473,444
orf19.1840,9639,7050,7792,8725
orf19.1841,57,37,121,130
orf19.1842,2122,1458,1780,2112
orf19.1843,851,509,934,991
orf19.1844,5,8,21,13
orf19.1847,4119,2893,4522,4708
orf19.1848.1,98,64,84,82
orf19.1849,2098,1339,590,580
orf19.185,2144,1437,807,797
orf19.1850,749,501,468,523
orf19.1852,1534,1168,836,838
orf19.1853,10849,7252,10687,10234
orf19.1854,7288,5609,8681,8275
orf19.1855,164,128,239,246
orf19.1856,855,628,697,721
orf19.1857,2414,1780,3713,3844
orf19.1860,6148,4508,2946,2920
orf19.1860.1,1563,1080,1905,1937
orf19.1861,2567,1825,1350,1369
orf19.1862,15402,12079,1401,1410
orf19.1863,29,29,17,17
orf19.1864,3907,2628,2232,2341
orf19.1865,4272,3070,4848,5126
orf19.1866,1476,1145,1079,1168
orf19.1867,266,179,673,661
orf19.1868,2502,1790,8423,8812
orf19.1871,3407,2285,2395,2773
orf19.1872,4369,3210,2399,2439
orf19.1873,1182,935,754,776
orf19.1874,1,5,4,5
orf19.1876,1586,1154,727,779
orf19.1877,289,237,274,267
orf19.1878,726,499,557,586
