gene_id,treated_b1,untreated_b1,untreated_b2
gene-KLLA0_A11792g,1277,666,733
gene-KLLA0_A11814g,1386,3195,3871
gene-KLLA0_A11836g,1108,232,288
gene-KLLA0_A11858g,438076,288111,353630
gene-KLLA0_A11913g,22,15,5
gene-KLLA0_A11935g,1175,1081,1249
gene-KLLA0_A11957g,581,429,607
gene-KLLA0_A11979g,1437,721,848
gene-KLLA0_A12001g,70,383,556
gene-KLLA0_A12045g,1200,1908,2076
gene-KLLA0_A12067g,387,207,244
gene-KLLA0_A12089g,984,1438,1862
gene-KLLA0_B00143g,497,105,56
gene-KLLA0_B00166g,41,4,12
gene-KLLA0_B00187g,0,0,0
gene-KLLA0_B00220g,177,11,19
gene-KLLA0_B00242g,1958,1339,1662
gene-KLLA0_B00264g,410,230,208
gene-KLLA0_B00286g,50444,155,154
gene-KLLA0_B00308g,402,30,29
gene-KLLA0_B00352g,3256,2852,3049
gene-KLLA0_B00385g,801,10631,11395
gene-KLLA0_B00407g,125,5042,5721
gene-KLLA0_B00429g,737,5149,6156
gene-KLLA0_B00451g,631,243,252
gene-KLLA0_B00473g,283,1282,1575
gene-KLLA0_B00495g,234,146,189
gene-KLLA0_B00517g,14,21,27
gene-KLLA0_B00539g,1990,1601,1725
gene-KLLA0_B00561g,1816,2009,2350
gene-KLLA0_B00583g,2466,1504,1566
gene-KLLA0_B00627g,292,318,367
gene-KLLA0_B00649g,1191,825,1123
gene-KLLA0_B00671g,1953,1596,1761
gene-KLLA0_B00693g,2121,1559,1495
gene-KLLA0_B00715g,1718,1305,1296
gene-KLLA0_B00737g,285,284,358
gene-KLLA0_B00759g,1333,714,813
gene-KLLA0_B00781g,301,151,176
gene-KLLA0_B00803g,1329,856,884
gene-KLLA0_B00825g,3061,1762,2126
gene-KLLA0_B00847g,1122,3144,3988
gene-KLLA0_B00869g,42,99,128
gene-KLLA0_B00891g,3557,4483,4624
gene-KLLA0_B00913g,292,126,121
gene-KLLA0_B00935g,2403,2315,3085
gene-KLLA0_B00957g,1863,1081,1106
gene-KLLA0_B00979g,4889,7068,8388
gene-KLLA0_B01001g,1351,1080,1234
gene-KLLA0_B01023g,408,452,554
gene-KLLA0_B01045g,1164,1554,1745
gene-KLLA0_B01067g,842,739,790
gene-KLLA0_B01089g,499,542,664
gene-KLLA0_B01111g,2314,2471,2559
gene-KLLA0_B01133g,321,235,343
gene-KLLA0_B01155g,2856,3381,3795
gene-KLLA0_B01177g,424,596,706
gene-KLLA0_B01199g,603,623,761
gene-KLLA0_B01221g,345,373,452
gene-KLLA0_B01243g,1664,681,733
gene-KLLA0_B01265g,748,658,753
gene-KLLA0_B01287g,1295,1117,1205
gene-KLLA0_B01309g,1495,1073,1263
gene-KLLA0_B01331g,734,753,767
gene-KLLA0_B01353g,1969,1756,1972
gene-KLLA0_B01375g,1049,1008,1031
gene-KLLA0_B01397g,646,909,970
gene-KLLA0_B01430r,0,0,0
gene-KLLA0_B01452g,32,23,23
gene-KLLA0_B01474g,401,11433,14926
gene-KLLA0_B01496g,1077,1404,1712
gene-KLLA0_B01518g,318,603,759
gene-KLLA0_B01540g,409,1132,1150
gene-KLLA0_B01562g,239,12740,14863
gene-KLLA0_B01584g,1268,1480,1455
gene-KLLA0_B01606g,9391,4770,5030
gene-KLLA0_B01628g,21142,7232,10328
gene-KLLA0_B01650g,1827,1381,1481
gene-KLLA0_B01672g,640,710,947
gene-KLLA0_B01694g,1459,2185,2870
gene-KLLA0_B01738g,2717,2543,2648
gene-KLLA0_B01760g,1611,1735,1976
gene-KLLA0_B01782g,1073,665,711
gene-KLLA0_B01804g,4196,4294,4459
gene-KLLA0_B01826g,5913,3965,4504
gene-KLLA0_B01848g,3412,1458,1613
gene-KLLA0_B01870g,219,68,100
gene-KLLA0_B01892g,2255,1337,1440
gene-KLLA0_B01914g,2544,2811,2898
gene-KLLA0_B01936g,233,48,92
gene-KLLA0_B01958g,9591,8743,10076
gene-KLLA0_B01980g,181,383,371
gene-KLLA0_B02002g,1081,28363,40591
gene-KLLA0_B02024g,1032,1904,2166
gene-KLLA0_B02046g,4165,2517,3333
gene-KLLA0_B02068g,1578,1632,2010
gene-KLLA0_B02090g,1469,1877,2128
gene-KLLA0_B02112g,1559,1925,2271
gene-KLLA0_B02134g,1101,546,605
gene-KLLA0_B02156g,401,258,341
gene-KLLA0_B02178g,2444,1364,1437
gene-KLLA0_B02200g,1003,1062,1210
gene-KLLA0_B02222g,374,1466,1578
gene-KLLA0_B02244g,918,1444,1571
gene-KLLA0_B02266g,349,498,538
