"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"gene-GWK60_K10681",10115.7213058863,-2.84237349544001,0.0576222577020872,0,0
"gene-GWK60_K11055",1262.63952470066,2.37122852069765,0.0951183865736391,6.05854770302754e-138,4.90276321814228e-137
"gene-GWK60_K11385",2512.36942862798,-2.69190048523952,0.0738869035038543,1.71926278879209e-291,3.15098336900572e-290
"gene-GWK60_K11517",19262.7089356031,-3.06661504547381,0.0516025052379427,0,0
"gene-GWK60_K11781",8911.83118979942,-2.45516383177192,0.0507826625382028,0,0
"gene-GWK60_K11869",15525.0580018723,-3.3289695962035,0.0505814557958135,0,0
"gene-GWK60_K11979",679.658736039045,-2.65291186696252,0.125079208218162,1.14292787210392e-100,7.13143607030441e-100
"gene-GWK60_K12045",4714.26560064006,-2.15350491028504,0.0592205397030076,3.15820455875334e-290,5.68909451337074e-289
"gene-GWK60_K12265",592.247661354012,2.14449004356167,0.133821539619426,2.06967287577669e-58,8.68833146575052e-58
"gene-GWK60_L00099",373.870318750763,-2.07297775741456,0.155583122430778,3.68531298130684e-41,1.23785097584125e-40
"gene-GWK60_L00231",70173.2083757186,-3.19225586041337,0.0426458175829974,0,0
"gene-GWK60_L00297",6681.06730774567,-2.97749028114552,0.0558198882846892,0,0
"gene-GWK60_L00539",87.4369212964577,5.95863326547004,0.67988443346172,2.22502716784108e-18,4.96337697321631e-18
"gene-GWK60_L00561",10609.4234232334,2.92564959060756,0.052479839492478,0,0
"gene-GWK60_L00605",13760.4081268626,-3.53038009163337,0.0582754171358344,0,0
"gene-GWK60_L00627",5919.91490516612,-3.10345712620732,0.0632846082410063,0,0
"gene-GWK60_L01067",714.495466006459,-2.00743509945804,0.116680157570434,5.66930658875782e-67,2.60897223594629e-66
"gene-GWK60_L01221",2624.69006362419,3.08379550247185,0.0775087450819841,0,0
"gene-GWK60_L01309",10619.263466305,2.3537509990172,0.0492788669719613,0,0
"gene-GWK60_L01419",682.523603362721,-2.70611537689329,0.125266058607597,2.51699323636684e-104,1.62846056867031e-103
"gene-GWK60_L01617",251.397554700517,-2.73991202506156,0.206431266447131,4.69711580124162e-41,1.57168124138238e-40
"gene-GWK60_L01771",4052.42077294333,2.5601834128021,0.0646680287893683,0,0
"gene-GWK60_L02167",64.4628757321958,-3.0749998032243,0.414060646399862,1.79668427051855e-14,3.67154594519331e-14
"gene-GWK60_L02189",1316.12874139016,-4.722683424077,0.129726205052392,7.80388277779157e-291,1.42036067166725e-289
"gene-GWK60_L02673",2275.12860109798,-3.01808442426848,0.0785013482373176,0,0
"gene-GWK60_L02915",3257.75187062456,2.00624773222446,0.0655165060788226,1.59478440531676e-206,1.97378022869792e-205
"gene-GWK60_L02959",1383.21280174216,-3.5299126176536,0.102231572372055,3.75491682486159e-262,5.98510984811271e-261
"gene-GWK60_L03069",440.78056903516,-3.42022687880697,0.168330646752784,1.47212107344525e-92,8.57514600921594e-92
"gene-GWK60_L03091",781.510764600369,-3.0031165068334,0.122242701803319,3.8249878691271e-134,3.02547912655768e-133
"gene-GWK60_L03311",15.8744720878726,-2.8898538857677,0.854406192277508,0.000106390208413782,0.000153402548315925
"gene-GWK60_L03333",865.217987788062,-4.38290145181865,0.147081483785794,7.93030099679777e-196,9.14767176385006e-195
"gene-GWK60_L03355",662.989932093047,-3.13758829227179,0.138390893442492,8.74519577310639e-115,6.03670994311544e-114
"gene-GWK60_L03531",35066.7869034706,-5.89585876529615,0.0517575667983584,0,0
"gene-GWK60_L03707",600.151930542929,2.61372356518103,0.133373987258293,2.43586859043961e-86,1.34445632588797e-85
"gene-GWK60_L03751",215.110345332804,3.84864640294777,0.260419760805573,4.90085132720643e-50,1.86530231411764e-49
"gene-GWK60_L03773",4150.83902661477,-2.0539835035639,0.0620190804047015,3.02891795425628e-241,4.41332643750361e-240
"gene-GWK60_L04059",62.8453572101006,-4.80698035109494,0.587865656417545,1.19313382514717e-16,2.56263124551822e-16
"gene-GWK60_L04301",5464.27367060704,2.4006423005114,0.0583800084441197,0,0
"gene-GWK60_L04829",987.663951946691,2.29134029389578,0.10326264335381,7.61315951895462e-110,5.11433193738203e-109
"gene-GWK60_L04917",6328.36799438295,3.59465399490468,0.0624692497051284,0,0
"gene-GWK60_L05137",1584.92195186306,2.273511673657,0.0965637499647253,3.61600592688049e-123,2.66389232148338e-122
"gene-GWK60_L05621",744.955542273091,2.33040111494294,0.117084974071752,7.70599935656178e-89,4.34909405745868e-88
"gene-GWK60_L05819",16976.9078989202,2.31123170265534,0.0486224448584247,0,0
